equity,,equity,date,
1174776.1500000006,,1174776.15,05-10-2023,00:00:00+05:30
1174776.1500000006,,1174776.15,06-10-2023,00:00:00+05:30
1174776.1500000006,,1174776.15,09-10-2023,00:00:00+05:30
1174776.1500000006,,1174776.15,10-10-2023,00:00:00+05:30
1174776.1500000006,,1174776.15,11-10-2023,00:00:00+05:30
1174776.1500000006,,1174776.15,12-10-2023,00:00:00+05:30
1174776.1500000006,,1174776.15,13-10-2023,00:00:00+05:30
1174776.1500000004,,1174776.15,16-10-2023,00:00:00+05:30
1174143.7500000005,,1174143.75,17-10-2023,00:00:00+05:30
1177499.9500000007,,1177499.95,18-10-2023,00:00:00+05:30
1178225.9500000007,,1178225.95,19-10-2023,00:00:00+05:30
1170423.9500000007,,1170423.95,20-10-2023,00:00:00+05:30
1161924.9500000007,,1161924.95,23-10-2023,00:00:00+05:30
1167771.3500000006,,1167771.35,25-10-2023,00:00:00+05:30
1165482.3500000006,,1165482.35,26-10-2023,00:00:00+05:30
1169349.1500000006,,1169349.15,27-10-2023,00:00:00+05:30
1170403.3500000006,,1170403.35,30-10-2023,00:00:00+05:30
1170403.3500000006,,1170403.35,31-10-2023,00:00:00+05:30
1170403.3500000006,,1170403.35,01-11-2023,00:00:00+05:30
1170403.3500000006,,1170403.35,02-11-2023,00:00:00+05:30
1170403.3500000006,,1170403.35,03-11-2023,00:00:00+05:30
1170403.3500000006,,1170403.35,06-11-2023,00:00:00+05:30
1170403.3500000006,,1170403.35,07-11-2023,00:00:00+05:30
1170403.3500000006,,1170403.35,08-11-2023,00:00:00+05:30
1170403.3500000006,,1170403.35,09-11-2023,00:00:00+05:30
1170403.3500000006,,1170403.35,10-11-2023,00:00:00+05:30
1170403.3500000006,,1170403.35,12-11-2023,00:00:00+05:30
1168900.8000000007,,1168900.8,13-11-2023,00:00:00+05:30
1173380.8000000007,,1173380.8,15-11-2023,00:00:00+05:30
1175793.5000000005,,1175793.5,16-11-2023,00:00:00+05:30
1178991.9000000006,,1178991.9,17-11-2023,00:00:00+05:30
1179649.9000000006,,1179649.9,20-11-2023,00:00:00+05:30
1182394.6000000006,,1182394.6,21-11-2023,00:00:00+05:30
1187667.3500000006,,1187667.35,22-11-2023,00:00:00+05:30
1195115.5500000007,,1195115.55,23-11-2023,00:00:00+05:30
1193248.6500000006,,1193248.65,24-11-2023,00:00:00+05:30
1202710.0000000007,,1202710,28-11-2023,00:00:00+05:30
1205364.1500000006,,1205364.15,29-11-2023,00:00:00+05:30
1212102.8500000006,,1212102.85,30-11-2023,00:00:00+05:30
1214205.5500000007,,1214205.55,01-12-2023,00:00:00+05:30
1225530.5500000007,,1225530.55,04-12-2023,00:00:00+05:30
1227755.700000001,,1227755.7,05-12-2023,00:00:00+05:30
1239882.000000001,,1239882,06-12-2023,00:00:00+05:30
1242659.8000000007,,1242659.8,07-12-2023,00:00:00+05:30
1233986.9000000008,,1233986.9,08-12-2023,00:00:00+05:30
1245812.6000000008,,1245812.6,11-12-2023,00:00:00+05:30
1236826.1000000008,,1236826.1,12-12-2023,00:00:00+05:30
1243605.9500000007,,1243605.95,13-12-2023,00:00:00+05:30
1245441.5000000007,,1245441.5,14-12-2023,00:00:00+05:30
1241509.5500000007,,1241509.55,15-12-2023,00:00:00+05:30
1251075.450000001,,1251075.45,18-12-2023,00:00:00+05:30
1246792.7000000007,,1246792.7,19-12-2023,00:00:00+05:30
1218628.6000000008,,1218628.6,20-12-2023,00:00:00+05:30
1226535.750000001,,1226535.75,21-12-2023,00:00:00+05:30
1231212.200000001,,1231212.2,22-12-2023,00:00:00+05:30
1234402.100000001,,1234402.1,26-12-2023,00:00:00+05:30
1236911.300000001,,1236911.3,27-12-2023,00:00:00+05:30
1240562.700000001,,1240562.7,28-12-2023,00:00:00+05:30
1240225.250000001,,1240225.25,29-12-2023,00:00:00+05:30
1245261.4000000008,,1245261.4,01-01-2024,00:00:00+05:30
1246267.3000000007,,1246267.3,02-01-2024,00:00:00+05:30
1245540.250000001,,1245540.25,03-01-2024,00:00:00+05:30
1254062.4500000007,,1254062.45,04-01-2024,00:00:00+05:30
1246188.350000001,,1246188.35,05-01-2024,00:00:00+05:30
1236640.550000001,,1236640.55,08-01-2024,00:00:00+05:30
1238451.750000001,,1238451.75,09-01-2024,00:00:00+05:30
1242557.4000000008,,1242557.4,10-01-2024,00:00:00+05:30
1254138.7000000011,,1254138.7,11-01-2024,00:00:00+05:30
1251226.5500000007,,1251226.55,12-01-2024,00:00:00+05:30
1249483.250000001,,1249483.25,15-01-2024,00:00:00+05:30
1244732.6500000008,,1244732.65,16-01-2024,00:00:00+05:30
1251188.850000001,,1251188.85,17-01-2024,00:00:00+05:30
